Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
SBUX,Starbucks Corporation,95.29,USD,1.2215848735925279,7623260,0.9105660206889119,108602007655.65106,USD,72.72935429705389,1.3102,USD,-52.37541347097525,2.57586818229221,Consumer services,Buy
FTNT,"Fortinet, Inc.",144.68,USD,-3.3340014699004348,7122281,1.089013793492863,105999564014.83289,USD,55.89985317981609,2.5882,USD,6.532208273307267,0,Technology services,Neutral
CDNS,"Cadence Design Systems, Inc.",376.19,USD,-8.62077341624563,3520057,1.30542714015473,103759224622.10332,USD,87.82304190498424,4.2835,USD,8.486982068686055,0,Technology services,Strong buy
NOK,Nokia Corporation Sponsored,14.38,USD,-13.477737665463296,185181232,1.398746943327152,95833498592.9521,USD,89.70679975046788,0.1603,USD,8.67796610169492,0.7181589958159,Electronic technology,Buy
UPS,"United Parcel Service, Inc.",108.54,USD,-1.52422427871529,4048071,0.6696394630406194,92259676832.34767,USD,17.57192119024106,6.1769,USD,-9.902564252166055,6.03662464341585,Transportation,Buy
FCX,"Freeport-McMoRan, Inc.",63.37,USD,-9.068732960252547,18100953,1.589196369026736,91098164655.18007,USD,33.71282651486939,1.8797,USD,55.154766817994215,0.849377123442808,Non-energy minerals,Buy
CMI,Cummins Inc.,651.22,USD,-3.9640171066214416,981864,0.9468155398001113,89861237545.02402,USD,33.80204197096394,19.2657,USD,-4.155514651012388,1.17245321178902,Producer manufacturing,Buy
USB,U.S. Bancorp,55.69,USD,0.4147133068878414,6500337,0.8424805998441206,86447575130.50545,USD,11.664781534079006,4.7742,USD,18.199598920551608,3.87655250282273,Finance,Buy
ASX,"ASE Technology Holding Co., Ltd.",34.03,USD,-11.380208333333327,21565988,2.237670845449604,86010249686.88652,USD,50.51959619952494,0.6736,USD,43.41068767298275,0.654637935354548,Electronic technology,Strong buy
DDOG,"Datadog, Inc.",234.11,USD,-3.895730706075526,6792767,0.988997581408118,83333842250.85738,USD,624.7931678676275,0.3747,USD,-18.825823223570197,0,Technology services,Strong buy
SNOW,Snowflake Inc.,238.26,USD,-2.4244409861577587,7162806,0.46267127689989107,82580917036.8576,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy
ABNB,"Airbnb, Inc.",133.54,USD,-0.1346096320670108,4044942,1.092594305813833,80485209645.0113,USD,32.89243577428015,4.0599,USD,2.1538384117957854,0,Consumer services,Buy
FDX,FedEx Corporation,331,USD,0.9146341463414633,2584576,1.194484584926296,78978832332.10565,USD,17.61912873142273,18.7864,USD,17.954642489388956,1.78758552672132,Transportation,Buy
EMR,Emerson Electric Company,138.12,USD,-2.7734759960580018,2232670,0.8371102910908589,77361011308.81175,USD,31.86600221483943,4.3344,USD,3.4463007159904335,1.556289040318,Electronic technology,Buy
BE,Bloom Energy Corporation,263.61,USD,-9.527405017675118,11652490,1.1474205628812413,74982252636.59892,USD,,-0.0564,USD,32.85714285714286,0,Electronic technology,Buy
NXPI,NXP Semiconductors N.V.,295.96,USD,-8.149711377319857,8438112,2.4314207543989315,74721343330.04324,USD,28.319634091496262,10.4507,USD,13.848248815294934,1.26009693053312,Electronic technology,Buy
GM,General Motors Company,82.11,USD,-1.3338139870223498,7371585,0.8566151734726531,74035723615.25618,USD,33.119554695062924,2.4792,USD,-64.28849228641805,0.771113831089351,Consumer durables,Buy
COHR,Coherent Corp.,376.99,USD,-10.644702536146,6418683,1.1096604385461863,73754068969.41393,USD,179.98185811133393,2.0946,USD,,0,Electronic technology,Buy
MPWR,"Monolithic Power Systems, Inc.",1481.05,USD,-10.380612368389203,1369016,2.0485158907760255,72763988712.95541,USD,106.70389048991353,13.88,USD,-63.151159888922514,0.395292001254519,Electronic technology,Buy
STM,STMicroelectronics N.V.,70.72,USD,-9.749872383869322,20081513,1.633225252818738,70898254560.34035,USD,459.8179453836151,0.1538,USD,-86.87713310580205,0.383891607075649,Electronic technology,Buy
LITE,Lumentum Holdings Inc.,863.66,USD,-8.615143691539348,7540513,1.2748221114382126,67192750636.096565,USD,160.29026929715485,5.3881,USD,,0,Producer manufacturing,Buy
VALE,VALE S.A.,15.23,USD,-3.4242232086239643,25205806,1.163378385076493,67001957656.482,USD,23.244810744810746,0.6552,USD,-51.75612988734262,5.65718555417186,Non-energy minerals,Buy
URI,"United Rentals, Inc.",1067.77,USD,-1.553539488484438,560908,1.1994832608286088,66892111230.041985,USD,27.256065653278196,39.1755,USD,1.443101957108301,0.711730299646028,Finance,Buy
WBD,"Warner Bros. Discovery, Inc. - Series A",26.24,USD,-2.8148148148148207,49422921,2.469259831799685,65787267499.757034,USD,,-0.6988,USD,84.13440799182655,0,Consumer services,Neutral
