Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
CLSK,"CleanSpark, Inc.",-3.329297820823238,25125622,0.9846322095699429,4098039648.4461265,USD,,-2.1014,USD,-126.29765237992679,0,Technology services,Strong buy,15.97,USD
PLUG,"Plug Power, Inc.",-8.777429467084634,70050281,0.8963714394996031,4059651130.2601886,USD,,-1.2976,USD,42.86720676294469,0,Electronic technology,Neutral,2.91,USD
PVH,PVH Corp.,4.062500000000006,1180176,0.6452252741443102,3684958959.6843753,USD,25.366596838697394,3.1506,USD,-55.59408033826638,0.1953125,Consumer non-durables,Buy,79.92,USD
DAVE,Dave Inc.,3.1151725924007394,495361,0.5946347336039131,3543587782.7826777,USD,17.919900212819307,15.5531,USD,327.92956390149953,0,Finance,Strong buy,278.71,USD
KEEL,Keel Infrastructure Corp.,-4.240282685512371,96782425,1.740112296964072,3272750995.7208476,USD,,-0.6507,USD,-186.14775725593665,0,Technology services,Strong buy,5.42,USD
INOD,Innodata Inc.,-3.910886272983763,1909523,0.9774745382339461,3225369675.240879,USD,89.07024979709622,1.1089,USD,6.635253389749009,0,Technology services,Strong buy,98.77,USD
RDW,Redwire Corporation,-15.18578352180937,69126779,1.0185877842526483,3132969972.819063,USD,,-2.6879,USD,-18.97574362606233,0,Electronic technology,Buy,15.75,USD
PENG,"Penguin Solutions, Inc.",-4.548971066068386,3197945,0.9146138385627332,3130613696.8935475,USD,88128.57142857142,0.0007,USD,,0,Electronic technology,Strong buy,61.69,USD
AEHR,Aehr Test Systems,-1.328729859803302,2369075,1.0869137842226497,2966356507.7633395,USD,,-0.3783,USD,-148.74371859296483,0,Electronic technology,Buy,94.31,USD
AMPX,"Amprius Technologies, Inc.",-7.488050982474757,8580763,0.855174777497429,2467145234.6988854,USD,,-0.3046,USD,25.87004137259674,0,Producer manufacturing,Strong buy,17.42,USD
OUST,"Ouster, Inc.",-5.772994129158511,5402244,1.060728457807789,2452682126.3424664,USD,,-0.9742,USD,50.41734527687297,0,Electronic technology,Strong buy,38.52,USD
TE,T1 Energy Inc.,-7.338444687842277,41506314,0.903074358126686,2362635754.8959475,USD,,-2.0321,USD,34.17233560090704,0,Producer manufacturing,Strong buy,8.46,USD
