Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
ALAB,"Astera Labs, Inc.",11.065103064740377,5728856,0.9974409572888145,62987274291.94372,USD,247.6880560798059,1.4836,USD,532.3955669224212,0,Electronic technology,Buy,367.47,USD
VALE,VALE S.A.,2.8801071667782967,27962547,1.2346218476531174,62258565427.1734,USD,23.44322344322344,0.6552,USD,-51.75612988734262,6.08535833891494,Non-energy minerals,Buy,15.36,USD
TER,"Teradyne, Inc.",9.726977185764838,5027374,1.3691556456747174,59705179207.99275,USD,70.59041273366648,5.403,USD,52.929521652986125,0.143847636583331,Electronic technology,Buy,381.4,USD
F,Ford Motor Company,2.867132867132868,47656086,0.6503006606924617,58614829695.179016,USD,,-1.4073,USD,-212.7644230769231,4.1958041958042,Consumer durables,Neutral,14.71,USD
KEYS,Keysight Technologies Inc.,4.947530864197523,1360462,0.7846425165736931,58109552825.867615,USD,56.02365966981909,6.0694,USD,42.551142635695335,0,Electronic technology,Buy,340.03,USD
CARR,Carrier Global Corporation,2.6040900397234017,6321620,0.7905995489759902,57924681227.8667,USD,45.81827737993561,1.5221,USD,-65.07102370516557,1.36825069883772,Producer manufacturing,Buy,69.74,USD
NBIS,Nebius Group N.V.,4.983702583967127,14296984,0.7735291482605667,55926793780.77075,USD,74.14673205885298,2.9973,USD,,0,Technology services,Buy,222.24,USD
FLEX,Flex Ltd.,8.96121585776758,3303925,0.550962531212677,55685783726.47323,USD,65.18420036882961,2.3317,USD,10.433835369896748,0,Electronic technology,Buy,151.99,USD
DAL,"Delta Air Lines, Inc.",7.009284686805282,7975708,1.272358966025001,53761846369.432976,USD,11.948601883624152,6.8485,USD,21.407931358471153,0.980776775205963,Transportation,Strong buy,81.83,USD
ROK,"Rockwell Automation, Inc.",3.981184811507256,590536,0.8727340225516685,50917850509.785194,USD,47.546758104738146,9.624,USD,21.16633932618221,1.23843933919604,Producer manufacturing,Buy,457.59,USD
