Symbol,Description,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
STM,STMicroelectronics N.V.,-9.749872383869322,20081513,1.633225252818738,64549493738.5386,USD,459.8179453836151,0.1538,USD,-86.87713310580205,0.432692307692308,Electronic technology,Buy,70.72,USD
RKLB,Rocket Lab Corporation,-8.228428511879954,21477105,0.755053449204895,63721734653.99999,USD,,-0.3303,USD,19.985465116279073,0,Electronic technology,Buy,110.08,USD
VALE,VALE S.A.,-3.4242232086239643,25205806,1.163378385076493,63322309892.823006,USD,23.244810744810746,0.6552,USD,-51.75612988734262,5.9654891661195,Non-energy minerals,Buy,15.23,USD
TFC,Truist Financial Corporation,0.04066693777959156,6861769,0.755931957664182,61297261156,USD,12.196331184928113,4.034,USD,18.895340269386065,4.22764227642276,Finance,Buy,49.2,USD
F,Ford Motor Company,-2.8683181225554075,65372109,0.7308192554150336,59371918996.99999,USD,,-1.4073,USD,-212.7644230769231,4.02684563758389,Consumer durables,Neutral,14.9,USD
NUE,Nucor Corporation,-3.0082354735397234,1439845,0.9299931702733402,57935020523,USD,25.20559617937895,10.0926,USD,79.7147385103011,0.872675812728488,Non-energy minerals,Buy,254.39,USD
NBIS,Nebius Group N.V.,-12.269418877806451,20873926,1.2221821781236073,57328485456.00001,USD,76.00507123077436,2.9973,USD,,0,Technology services,Buy,227.81,USD
KEYS,Keysight Technologies Inc.,-3.870478855177648,1251550,0.6573056910787722,56366417751.99999,USD,54.343098164563216,6.0694,USD,42.551142635695335,0,Electronic technology,Buy,329.83,USD
TER,"Teradyne, Inc.",-12.026249815661409,5471125,1.6143941178027545,56031134194,USD,66.24652970571906,5.403,USD,52.929521652986125,0.13969211857067,Electronic technology,Buy,357.93,USD
CARR,Carrier Global Corporation,-2.01342281879196,6387936,0.8141498001954668,55781785683,USD,44.12325077195979,1.5221,USD,-65.07102370516557,1.38475282906492,Producer manufacturing,Buy,67.16,USD
FLEX,Flex Ltd.,-4.7583223622343445,5484965,0.9499686508344813,55660134407,USD,65.15417935411931,2.3317,USD,10.433835369896748,0,Electronic technology,Buy,151.92,USD
CRWV,"CoreWeave, Inc.",-7.072109599185413,32460476,1.0988884899147873,54769807213.00001,USD,,-3.1473,USD,-21.728872558499315,0,Technology services,Buy,100.39,USD
ALAB,"Astera Labs, Inc.",-11.448121770702418,7314951,1.2485812974650763,54346602219,USD,213.70989485036398,1.4836,USD,532.3955669224212,0,Electronic technology,Buy,317.06,USD
UMC,United Microelectronics Corporation (NEW),-5.242905242905242,32089605,1.9136048478045533,52273982044.88412,USD,30.537901100604557,0.6451,USD,18.453911127432985,1.88719289340102,Electronic technology,Sell,19.7,USD
